,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist
911,4126,Need for Speed: Hot Pursuit,Wii,2010,Racing,Electronic Arts,0.18,0.24,0.0,0.05,0.48,2010-11-16,"Criterion Games, Electronic Arts",3.3,148.0,148.0,Racing,2000.0,23.0,182.0,54.0
912,4147,Sonic the Hedgehog,PS3,2009,Platform,Electronic Arts,0.0,0.48,0.0,0.0,0.48,1991-06-23,"Sonic Team, Sega",3.1,1100.0,1100.0,Platform,12000.0,60.0,804.0,243.0
913,4147,Sonic the Hedgehog,PS3,2009,Platform,Electronic Arts,0.0,0.48,0.0,0.0,0.48,1991-06-23,"Sonic Team, Sega",3.1,1100.0,1100.0,Platform,12000.0,60.0,804.0,243.0
914,4147,Sonic the Hedgehog,PS3,2009,Platform,Electronic Arts,0.0,0.48,0.0,0.0,0.48,1991-06-23,"Sonic Team, Sega",3.1,1100.0,1100.0,Platform,12000.0,60.0,804.0,243.0
915,4224,Metal Gear Solid: The Twin Snakes,GC,2004,Action,Konami Digital Entertainment,0.3,0.08,0.07,0.01,0.47,2004-03-09,"Konami, Silicon Knights",3.6,267.0,267.0,Adventure,1900.0,31.0,619.0,364.0
916,4232,Destroy All Humans!,XB,2005,Shooter,THQ,0.34,0.11,0.0,0.02,0.46,2005-06-21,"THQ, Pandemic Studios",3.2,160.0,160.0,Adventure,2200.0,16.0,414.0,188.0
917,4237,Crash of the Titans,Wii,2007,Action,Vivendi Games,0.4,0.03,0.0,0.04,0.46,2007-10-04,"Radical Entertainment, Sierra Entertainment",3.0,200.0,200.0,"Adventure, Platform",3800.0,18.0,196.0,122.0
918,4246,Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,0.12,0.29,0.0,0.05,0.46,2014-05-20,"MachineGames, Bethesda Softworks",3.6,794.0,794.0,"Adventure, Shooter",8400.0,149.0,2200.0,722.0
919,4246,Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,0.12,0.29,0.0,0.05,0.46,2014-05-20,"MachineGames, Bethesda Softworks",3.6,794.0,794.0,"Adventure, Shooter",8400.0,149.0,2200.0,722.0
920,4273,Crash Nitro Kart,GBA,2003,Racing,Vivendi Games,0.33,0.12,0.0,0.01,0.46,2003-11-11,"Vicarious Visions, Universal Interactive Studios",3.1,141.0,141.0,Racing,1700.0,4.0,139.0,52.0
921,4297,Rayman Legends,X360,2013,Platform,Ubisoft,0.19,0.23,0.0,0.04,0.46,2013-08-30,"Ubisoft Montpellier, Ubisoft Entertainment",4.0,921.0,921.0,"Adventure, Platform",9800.0,177.0,2300.0,643.0
922,4310,Tales of Vesperia,PS3,2009,Role-Playing,Namco Bandai Games,0.0,0.0,0.45,0.0,0.45,2008-08-07,"Namco Tales Studio, Bandai Namco Entertainment",3.9,196.0,196.0,RPG,1100.0,57.0,490.0,199.0
